線性規劃與網絡流24題,,,
作者,BYVoid,http://www.byvoid.com,
問題編號,問題名稱,問題模型,轉化模型
1,飛行員配對方案問題,二分圖最大匹配,網絡最大流
2,太空飛行計劃問題,最大權閉合圖,網絡最小割
3,最小路徑覆蓋問題,有向無環圖最小路徑覆蓋,網絡最大流
4,魔術球問題,有向無環圖最小路徑覆蓋,網絡最大流
5,圓桌問題,二分圖多重匹配,網絡最大流
6,最長遞增子序列問題,最多不相交路徑,網絡最大流
7,試題庫問題,二分圖多重匹配,網絡最大流
8,機器人路徑規劃問題,(未解決),最小費用最大流
9,方格取數問題,二分圖點權最大獨立集,網絡最小割
10,餐巾計劃問題,線性規劃網絡優化,最小費用最大流
11,航空路線問題,最長不相交路徑,最小費用最大流
12,軟件補丁問題,最小轉移代價,最短路徑
13,星際轉移問題,網絡判定,網絡最大流
14,孤島營救問題,分層圖最短路徑,最短路徑
15,汽車加油行駛問題,分層圖最短路徑,最短路徑
16,數字梯形問題,最大權不相交路徑,最小費用最大流
17,運輸問題,網絡費用流量,最小費用最大流
18,分配問題,二分圖最佳匹配,最小費用最大流
19,負載平衡問題,最小代價供求,最小費用最大流
20,深海機器人問題,線性規劃網絡優化,最小費用最大流
21,最長k可重區間集問題,最大權不相交路徑,最小費用最大流
22,最長k可重線段集問題,最大權不相交路徑,最小費用最大流
23,火星探險問題,線性規劃網絡優化,最小費用最大流
24,騎士共存問題,二分圖最大獨立集,網絡最小割
